route_id,agency_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color
44,STM,44,Armand-Bombardier,3,http://www.stm.info/bus/geomet/geo44.htm,,
45,STM,45,Papineau,3,http://www.stm.info/bus/geomet/geo45.htm,,
46,STM,46,Casgrain,3,http://www.stm.info/bus/geomet/geo46.htm,,
47,STM,47,Masson,3,http://www.stm.info/bus/geomet/geo47.htm,,
48,STM,48,Perras,3,http://www.stm.info/bus/geomet/geo48.htm,,
49,STM,49,Maurice-Duplessis,3,http://www.stm.info/bus/geomet/geo49.htm,,
51,STM,51,Édouard-Montpetit,3,http://www.stm.info/bus/geomet/geo51.htm,,
52,STM,52,Liège,3,http://www.stm.info/bus/geomet/geo52.htm,,
53,STM,53,Saint-Laurent,3,http://www.stm.info/bus/geomet/geo53.htm,,
54,STM,54,Charland/Chabanel,3,http://www.stm.info/bus/geomet/geo54.htm,,
55,STM,55,Saint-Laurent,3,http://www.stm.info/bus/geomet/geo55.htm,,
56,STM,56,Saint-Hubert,3,http://www.stm.info/bus/geomet/geo56.htm,,
57,STM,57,Pointe-Saint-Charles,3,http://www.stm.info/bus/geomet/geo57.htm,,
58,STM,58,Wellington,3,http://www.stm.info/bus/geomet/geo58.htm,,
61,STM,61,Wellington,3,http://www.stm.info/bus/geomet/geo61.htm,,
63,STM,63,Girouard,3,http://www.stm.info/bus/geomet/geo63.htm,,
64,STM,64,Grenet,3,http://www.stm.info/bus/geomet/geo64.htm,,
66,STM,66,The Boulevard,3,http://www.stm.info/bus/geomet/geo66.htm,,
67,STM,67,Saint-Michel,3,http://www.stm.info/bus/geomet/geo67.htm,,
68,STM,68,Pierrefonds,3,http://www.stm.info/bus/geomet/geo68.htm,,
69,STM,69,Gouin,3,http://www.stm.info/bus/geomet/geo69.htm,,
70,STM,70,Bois-Francs,3,http://www.stm.info/bus/geomet/geo70.htm,,
71,STM,71,Du Centre,3,http://www.stm.info/bus/geomet/geo71.htm,,
72,STM,72,Alfred-Nobel,3,http://www.stm.info/bus/geomet/geo72.htm,,
73,STM,73,Dalton,3,http://www.stm.info/bus/geomet/geo73.htm,,
74,STM,74,Bridge,3,http://www.stm.info/bus/geomet/geo74.htm,,
75,STM,75,Commune,3,http://www.stm.info/bus/geomet/geo75.htm,,
76,STM,76,McArthur,3,http://www.stm.info/bus/geomet/geo76.htm,,
78,STM,78,Laurendeau,3,http://www.stm.info/bus/geomet/geo78.htm,,
80,STM,80,Du Parc,3,http://www.stm.info/bus/geomet/geo80.htm,,
85,STM,85,Hochelaga,3,http://www.stm.info/bus/geomet/geo85.htm,,
86,STM,86,Pointe-aux-Trembles,3,http://www.stm.info/bus/geomet/geo86.htm,,
87,STM,87,Marien,3,http://www.stm.info/bus/geomet/geo87.htm,,
89,STM,89,Gouin / Perras,3,http://www.stm.info/bus/geomet/geo89.htm,,
90,STM,90,Saint-Jacques,3,http://www.stm.info/bus/geomet/geo90.htm,,
92,STM,92,Jean-Talon Ouest,3,http://www.stm.info/bus/geomet/geo92.htm,,
93,STM,93,Jean-Talon,3,http://www.stm.info/bus/geomet/geo93.htm,,
94,STM,94,D'Iberville,3,http://www.stm.info/bus/geomet/geo94.htm,,
95,STM,95,Bélanger,3,http://www.stm.info/bus/geomet/geo95.htm,,
97,STM,97,Mont-Royal,3,http://www.stm.info/bus/geomet/geo97.htm,,
99,STM,99,Villeray,3,http://www.stm.info/bus/geomet/geo99.htm,,
100,STM,100,Crémazie,3,http://www.stm.info/bus/geomet/geo100.htm,,
101,STM,101,Saint-Patrick,3,http://www.stm.info/bus/geomet/geo101.htm,,
102,STM,102,Somerled,3,http://www.stm.info/bus/geomet/geo102.htm,,
103,STM,103,Monkland,3,http://www.stm.info/bus/geomet/geo103.htm,,
104,STM,104,Cavendish,3,http://www.stm.info/bus/geomet/geo104.htm,,
105,STM,105,Sherbrooke,3,http://www.stm.info/bus/geomet/geo105.htm,,
106,STM,106,Newman,3,http://www.stm.info/bus/geomet/geo106.htm,,
107,STM,107,Verdun,3,http://www.stm.info/bus/geomet/geo107.htm,,
108,STM,108,Bannantyne,3,http://www.stm.info/bus/geomet/geo108.htm,,
109,STM,109,Shevchenko,3,http://www.stm.info/bus/geomet/geo109.htm,,
110,STM,110,Centrale,3,http://www.stm.info/bus/geomet/geo110.htm,,
112,STM,112,Airlie,3,http://www.stm.info/bus/geomet/geo112.htm,,
113,STM,113,Lapierre,3,http://www.stm.info/bus/geomet/geo113.htm,,
115,STM,115,Paré,3,http://www.stm.info/bus/geomet/geo115.htm,,
116,STM,116,Lafleur/Norman,3,http://www.stm.info/bus/geomet/geo116.htm,,
117,STM,117,O'Brien,3,http://www.stm.info/bus/geomet/geo117.htm,,
119,STM,119,Rockland,3,http://www.stm.info/bus/geomet/geo119.htm,,
121,STM,121,Sauvé/Côte-vertu,3,http://www.stm.info/bus/geomet/geo121.htm,,
123,STM,123,Dollard,3,http://www.stm.info/bus/geomet/geo123.htm,,
124,STM,124,Victoria,3,http://www.stm.info/bus/geomet/geo124.htm,,
125,STM,125,Ontario,3,http://www.stm.info/bus/geomet/geo125.htm,,
