trip_id,start_time,end_time,headway_secs
12J_12J_A_4_41_0.96528,05:30:00,25:30:00,600
12J_12J_A_4_41_0.97222,05:30:00,25:30:00,600
12J_12J_A_4_41_0.97917,05:30:00,25:30:00,600
12J_12J_A_4_41_0.98611,05:30:00,25:30:00,600
12J_12J_A_4_41_0.99306,05:30:00,25:30:00,600
12J_12J_A_4_41_1.00000,05:30:00,25:30:00,600
12J_12J_A_4_41_1.00694,05:30:00,25:30:00,600
12J_12J_A_4_41_1.01389,05:30:00,25:30:00,600
12J_12J_A_4_41_1.02083,05:30:00,25:30:00,600
12J_12J_A_4_41_1.02778,05:30:00,25:30:00,600
12J_12J_A_4_41_1.03472,05:30:00,25:30:00,600
12J_12J_A_4_41_1.04167,05:30:00,25:30:00,600
12J_12J_A_4_41_1.04861,05:30:00,25:30:00,600
12J_12J_A_4_41_1.05556,05:30:00,25:30:00,600
12J_12J_A_4_41_1.06250,05:30:00,25:30:00,600
12J_12J_A_4_42_0.22917,05:30:00,25:30:00,600
12J_12J_A_4_42_0.23611,05:30:00,25:30:00,600
12J_12J_A_4_42_0.24306,05:30:00,25:30:00,600
12J_12J_A_4_42_0.25000,05:30:00,25:30:00,600
12J_12J_A_4_42_0.25694,05:30:00,25:30:00,600
12J_12J_A_4_42_0.26389,05:30:00,25:30:00,600
12J_12J_A_4_42_0.27083,05:30:00,25:30:00,600
12J_12J_A_4_42_0.27778,05:30:00,25:30:00,600
12J_12J_A_4_42_0.28472,05:30:00,25:30:00,600
12J_12J_A_4_42_0.29167,05:30:00,25:30:00,600
12J_12J_A_4_42_0.29861,05:30:00,25:30:00,600
12J_12J_A_4_42_0.30556,05:30:00,25:30:00,600
12J_12J_A_4_42_0.31250,05:30:00,25:30:00,600
12J_12J_A_4_42_0.31944,05:30:00,25:30:00,600
12J_12J_A_4_42_0.32639,05:30:00,25:30:00,600
12J_12J_A_4_42_0.33333,05:30:00,25:30:00,600
12J_12J_A_4_42_0.34028,05:30:00,25:30:00,600
12J_12J_A_4_42_0.34722,05:30:00,25:30:00,600
12J_12J_A_4_42_0.35417,05:30:00,25:30:00,600
12J_12J_A_4_42_0.36111,05:30:00,25:30:00,600
12J_12J_A_4_42_0.36806,05:30:00,25:30:00,600
12J_12J_A_4_42_0.37500,05:30:00,25:30:00,600
12J_12J_A_4_42_0.38194,05:30:00,25:30:00,600
12J_12J_A_4_42_0.38889,05:30:00,25:30:00,600
12J_12J_A_4_42_0.39583,05:30:00,25:30:00,600
12J_12J_A_4_42_0.40278,05:30:00,25:30:00,600
12J_12J_A_4_42_0.40972,05:30:00,25:30:00,600
12J_12J_A_4_42_0.41667,05:30:00,25:30:00,600
12J_12J_A_4_42_0.42361,05:30:00,25:30:00,600
12J_12J_A_4_42_0.43056,05:30:00,25:30:00,600
12J_12J_A_4_42_0.43750,05:30:00,25:30:00,600
12J_12J_A_4_42_0.44444,05:30:00,25:30:00,600
12J_12J_A_4_42_0.45139,05:30:00,25:30:00,600
12J_12J_A_4_42_0.45833,05:30:00,25:30:00,600
12J_12J_A_4_42_0.46528,05:30:00,25:30:00,600
12J_12J_A_4_42_0.47222,05:30:00,25:30:00,600
12J_12J_A_4_42_0.47917,05:30:00,25:30:00,600
12J_12J_A_4_42_0.48611,05:30:00,25:30:00,600
12J_12J_A_4_42_0.49306,05:30:00,25:30:00,600
