stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url
3200663,57906,des Sources / Roger-Pilon,45.495536,-73.809257,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=57906
3200679,57907,de Salaberry / No 12001,45.483471,-73.807979,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=57907
3200691,57908,Lake / Hyman,45.488212,-73.807184,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=57908
3200722,57915,Hyman / Lisbonne,45.489249,-73.805543,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=57915
3200743,57918,Lake / de Salaberry,45.484342,-73.806389,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=57918
3200771,57923,des Sources / Hyman,45.490240,-73.802653,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=57923
3200795,57929,Sunshine / Cadman,45.496302,-73.799390,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=57929
3200801,57930,des Sources / de Salaberry,45.486778,-73.799287,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=57930
3200803,57932,des Sources / de Salaberry,45.487618,-73.800482,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=57932
3200812,57934,Sunshine / de la Madeleine,45.497176,-73.799356,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=57934
3200844,57940,Sunshine / Forest,45.498799,-73.797489,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=57940
3200866,57947,des Sources / Brunswick,45.483878,-73.796454,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=57947
3200882,57950,Sunshine / Iroquois,45.499907,-73.793874,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=57950
3200905,57952,Brunswick / Davignon,45.484627,-73.792608,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=57952
3200922,57956,Brunswick / Deacon,45.485778,-73.790840,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=57956
3200944,57961,Spring Garden / Hyman,45.495563,-73.790335,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=57961
3200954,57963,Spring Garden / Kingsley,45.493449,-73.789340,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=57963
3200973,57965,Spring Garden / Stonecrest,45.491628,-73.789218,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=57965
3200982,57967,Spring Garden / Andras,45.501516,-73.788772,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=57967
3200994,57970,Spring Garden / Fabre,45.489103,-73.788315,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=57970
3201021,57973,Sunnybrooke / Woodside,45.500496,-73.787295,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=57973
3201097,57980,De Salaberry / Hastings,45.472935,-73.836103,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=57980
3201121,57983,Davignon / Thornton,45.485122,-73.794507,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=57983
3201172,57986,Roger-Pilon / Tecumseh,45.487438,-73.830247,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=57986
3201229,57991,Saint-Régis / No 2000,45.486233,-73.785579,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=57991
3201232,57992,Saint-Régis / Deacon,45.484364,-73.789446,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=57992
3201253,57993,Fredmir / Greenwood,45.498384,-73.835631,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=57993
3300011,57998,11e Avenue / 11e Rue,45.505082,-73.802624,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=57998
