shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
12M-92-JO-E,45.529519,-73.622574,29
12M-357-01-N,45.569142,-73.621317,33
12M-67-JO-N,45.569142,-73.621317,27
12M-41-01-O,45.569142,-73.621317,32
12M-63-01-S,45.478931,-73.624588,8
12M-368-01-E,45.489679,-73.623662,39
12M-166-PM-S,45.489679,-73.623662,14
12M-166-L2-S,45.489679,-73.623662,14
12M-166-JO-S,45.489679,-73.623662,14
12M-51-JO-E,45.489679,-73.623662,28
12M-363-01-S,45.536215,-73.622518,21
12M-55-JO-S,45.536215,-73.622518,11
12M-104-01-O,45.461734,-73.623993,26
12M-90-01-O,45.461734,-73.623993,28
12M-99-01-E,45.543105,-73.621739,5
12M-129-SO-S,45.503857,-73.6226,13
12M-129-JO-S,45.503857,-73.6226,17
12M-193-01-O,45.551035,-73.621132,37
12M-162-01-E,45.475484,-73.622721,38
12M-103-JO-E,45.475484,-73.622721,20
12M-99-01-O,45.544469,-73.620963,25
12M-368-01-E,45.491109,-73.622358,40
12M-166-PM-S,45.491109,-73.622358,15
12M-166-L2-S,45.491109,-73.622358,15
12M-166-JO-S,45.491109,-73.622358,15
12M-51-JO-E,45.491109,-73.622358,29
12M-460-PM-E,45.55411,-73.621035,71
12M-460-AM-E,45.55411,-73.621035,58
12M-460-TA-E,45.55411,-73.621035,60
12M-192-JO-E,45.55411,-73.621035,10
12M-10-01-S,45.55411,-73.621035,6
12M-66-PM-S,45.480417,-73.622909,14
12M-66-JO-S,45.480417,-73.622909,14
12M-355-01-S,45.578889,-73.619679,17
12M-139-JO-S,45.578889,-73.619679,17
12M-41-01-O,45.578889,-73.619679,9
12M-129-SO-N,45.505625,-73.621296,34
12M-129-JO-N,45.505625,-73.621296,33
